DATE,IPN31152N
1972-01-01,59.9622
1972-02-01,67.0605
1972-03-01,74.2350
1972-04-01,78.1120
1972-05-01,84.7636
1972-06-01,100.5960
1972-07-01,100.1263
1972-08-01,96.3607
1972-09-01,85.8007
1972-10-01,70.3934
1972-11-01,60.8072
1972-12-01,58.6598
1973-01-01,61.0996
1973-02-01,72.2062
1973-03-01,80.0984
1973-04-01,83.9059
1973-05-01,87.3712
1973-06-01,109.7467
1973-07-01,107.3748
1973-08-01,99.6631
1973-09-01,91.6272
1973-10-01,75.3049
1973-11-01,65.9342
1973-12-01,61.5304
1974-01-01,62.9796
1974-02-01,75.3447
1974-03-01,84.2683
1974-04-01,84.5883
1974-05-01,90.5395
1974-06-01,109.9025
1974-07-01,103.8903
1974-08-01,101.0265
1974-09-01,89.4762
1974-10-01,73.6952
1974-11-01,66.1573
1974-12-01,61.0653
1975-01-01,64.2659
1975-02-01,75.4174
1975-03-01,85.1690
1975-04-01,85.0917
1975-05-01,97.3552
1975-06-01,113.5254
1975-07-01,108.1455
1975-08-01,104.8251
1975-09-01,90.1157
1975-10-01,75.7187
1975-11-01,70.2168
1975-12-01,62.7436
1976-01-01,61.9418
1976-02-01,74.0597
1976-03-01,86.9646
1976-04-01,90.1310
1976-05-01,94.1542
1976-06-01,110.0257
1976-07-01,107.4617
1976-08-01,103.8183
1976-09-01,92.2380
1976-10-01,75.1034
1976-11-01,67.5320
1976-12-01,62.4830
1977-01-01,63.7684
1977-02-01,75.0613
1977-03-01,90.0211
1977-04-01,92.6645
1977-05-01,99.1200
1977-06-01,114.7230
1977-07-01,112.3297
1977-08-01,106.4137
1977-09-01,91.7217
1977-10-01,76.0245
1977-11-01,67.3937
1977-12-01,61.4415
1978-01-01,61.8880
1978-02-01,72.8712
1978-03-01,83.9315
1978-04-01,89.0592
1978-05-01,92.4522
1978-06-01,111.3258
1978-07-01,106.9251
1978-08-01,103.6909
1978-09-01,90.6197
1978-10-01,79.1839
1978-11-01,67.8849
1978-12-01,62.4032
1979-01-01,63.0121
1979-02-01,73.9406
1979-03-01,86.4275
1979-04-01,91.2026
1979-05-01,94.7007
1979-06-01,110.1034
1979-07-01,107.1544
1979-08-01,106.7727
1979-09-01,95.3163
1979-10-01,79.5977
1979-11-01,67.8927
1979-12-01,63.2850
1980-01-01,66.9827
1980-02-01,76.4441
1980-03-01,85.8896
1980-04-01,87.9979
1980-05-01,92.1732
1980-06-01,108.4666
1980-07-01,107.8745
1980-08-01,107.8574
1980-09-01,90.6691
1980-10-01,76.2283
1980-11-01,66.4869
1980-12-01,63.8654
1981-01-01,60.5596
1981-02-01,76.4854
1981-03-01,86.6148
1981-04-01,89.0339
1981-05-01,93.6984
1981-06-01,110.6836
1981-07-01,110.7837
1981-08-01,106.1196
1981-09-01,91.4711
1981-10-01,76.9246
1981-11-01,71.0281
1981-12-01,66.5992
1982-01-01,62.0754
1982-02-01,77.0295
1982-03-01,88.5032
1982-04-01,86.2440
1982-05-01,93.3385
1982-06-01,106.9338
1982-07-01,101.1462
1982-08-01,98.2014
1982-09-01,86.1862
1982-10-01,72.0738
1982-11-01,66.0278
1982-12-01,61.4690
1983-01-01,63.5263
1983-02-01,74.3646
1983-03-01,86.6512
1983-04-01,83.5305
1983-05-01,94.3514
1983-06-01,110.2263
1983-07-01,107.5508
1983-08-01,105.2968
1983-09-01,95.8909
1983-10-01,79.0648
1983-11-01,70.3554
1983-12-01,65.5867
1984-01-01,67.0011
1984-02-01,85.6144
1984-03-01,96.7755
1984-04-01,101.8245
1984-05-01,108.3343
1984-06-01,128.8405
1984-07-01,125.1273
1984-08-01,116.6079
1984-09-01,106.8885
1984-10-01,88.2627
1984-11-01,80.3855
1984-12-01,73.9740
1985-01-01,76.1736
1985-02-01,86.6116
1985-03-01,101.2354
1985-04-01,104.8666
1985-05-01,114.3180
1985-06-01,130.5975
1985-07-01,124.5167
1985-08-01,117.4459
1985-09-01,104.0654
1985-10-01,86.2262
1985-11-01,74.6592
1985-12-01,70.6329
1986-01-01,73.6820
1986-02-01,88.9355
1986-03-01,100.0295
1986-04-01,104.3014
1986-05-01,113.2964
1986-06-01,127.3228
1986-07-01,121.3230
1986-08-01,119.0790
1986-09-01,96.8704
1986-10-01,86.4120
1986-11-01,76.9717
1986-12-01,70.6204
1987-01-01,73.9480
1987-02-01,94.5373
1987-03-01,103.6022
1987-04-01,106.8190
1987-05-01,116.8105
1987-06-01,132.0080
1987-07-01,127.4044
1987-08-01,123.6748
1987-09-01,106.7224
1987-10-01,89.4039
1987-11-01,84.6298
1987-12-01,79.7024
1988-01-01,79.9002
1988-02-01,98.0175
1988-03-01,115.0920
1988-04-01,119.3721
1988-05-01,130.0414
1988-06-01,150.9298
1988-07-01,145.4406
1988-08-01,140.7433
1988-09-01,117.3826
1988-10-01,100.0984
1988-11-01,87.7763
1988-12-01,83.0951
1989-01-01,87.6177
1989-02-01,104.3502
1989-03-01,115.4340
1989-04-01,121.1818
1989-05-01,126.1014
1989-06-01,140.4695
1989-07-01,135.0524
1989-08-01,128.2777
1989-09-01,110.4963
1989-10-01,97.4270
1989-11-01,90.7381
1989-12-01,86.0141
1990-01-01,82.5291
1990-02-01,103.7776
1990-03-01,117.2887
1990-04-01,121.9508
1990-05-01,126.5316
1990-06-01,141.2775
1990-07-01,143.6218
1990-08-01,129.0701
1990-09-01,114.4056
1990-10-01,98.3530
1990-11-01,87.9189
1990-12-01,85.7338
1991-01-01,85.2665
1991-02-01,104.8588
1991-03-01,118.1119
1991-04-01,123.0359
1991-05-01,127.9323
1991-06-01,157.4896
1991-07-01,140.6807
1991-08-01,135.6808
1991-09-01,120.9914
1991-10-01,103.7686
1991-11-01,91.8820
1991-12-01,89.0019
1992-01-01,90.2244
1992-02-01,110.4098
1992-03-01,131.4666
1992-04-01,135.2148
1992-05-01,142.7928
1992-06-01,158.2887
1992-07-01,147.0626
1992-08-01,143.9345
1992-09-01,127.0568
1992-10-01,109.5147
1992-11-01,99.3276
1992-12-01,92.9703
1993-01-01,95.3665
1993-02-01,123.4377
1993-03-01,133.6159
1993-04-01,140.7597
1993-05-01,150.5615
1993-06-01,165.0825
1993-07-01,159.3991
1993-08-01,152.2206
1993-09-01,128.2921
1993-10-01,109.5646
1993-11-01,96.3109
1993-12-01,90.5080
1994-01-01,99.4781
1994-02-01,119.7060
1994-03-01,134.2504
1994-04-01,141.2588
1994-05-01,144.7913
1994-06-01,159.2280
1994-07-01,155.8514
1994-08-01,143.5421
1994-09-01,121.3149
1994-10-01,109.9283
1994-11-01,102.0735
1994-12-01,94.1296
1995-01-01,104.9496
1995-02-01,122.5914
1995-03-01,138.8764
1995-04-01,150.0524
1995-05-01,148.7095
1995-06-01,174.4632
1995-07-01,173.0159
1995-08-01,164.7302
1995-09-01,137.9415
1995-10-01,127.0089
1995-11-01,108.0761
1995-12-01,95.7693
1996-01-01,108.7666
1996-02-01,129.4163
1996-03-01,145.4127
1996-04-01,151.9554
1996-05-01,156.9814
1996-06-01,184.1093
1996-07-01,169.3725
1996-08-01,152.8792
1996-09-01,136.2178
1996-10-01,113.1833
1996-11-01,97.4190
1996-12-01,94.4327
1997-01-01,103.5788
1997-02-01,127.1437
1997-03-01,138.0852
1997-04-01,137.5455
1997-05-01,141.6972
1997-06-01,158.4195
1997-07-01,146.3529
1997-08-01,137.5518
1997-09-01,116.5002
1997-10-01,105.4953
1997-11-01,94.5096
1997-12-01,83.5459
1998-01-01,96.5701
1998-02-01,118.2285
1998-03-01,129.3521
1998-04-01,134.3474
1998-05-01,140.5265
1998-06-01,149.2407
1998-07-01,139.2554
1998-08-01,129.8794
1998-09-01,114.7175
1998-10-01,96.5840
1998-11-01,82.2537
1998-12-01,78.6816
1999-01-01,86.3952
1999-02-01,100.6297
1999-03-01,106.4133
1999-04-01,112.6711
1999-05-01,116.2802
1999-06-01,128.8553
1999-07-01,122.1347
1999-08-01,119.6529
1999-09-01,103.5391
1999-10-01,92.1367
1999-11-01,84.3381
1999-12-01,79.5262
2000-01-01,93.3510
2000-02-01,111.2944
2000-03-01,125.0698
2000-04-01,136.5341
2000-05-01,135.6032
2000-06-01,150.1199
2000-07-01,145.4325
2000-08-01,131.8293
2000-09-01,117.1805
2000-10-01,113.7341
2000-11-01,92.6327
2000-12-01,88.5149
2001-01-01,101.3750
2001-02-01,115.9745
2001-03-01,122.6815
2001-04-01,134.3882
2001-05-01,131.9872
2001-06-01,148.4196
2001-07-01,141.4769
2001-08-01,134.7753
2001-09-01,128.6196
2001-10-01,115.1136
2001-11-01,105.0913
2001-12-01,104.6018
2002-01-01,120.9601
2002-02-01,143.6813
2002-03-01,155.2061
2002-04-01,169.2145
2002-05-01,165.2011
2002-06-01,188.8447
2002-07-01,173.2341
2002-08-01,163.2352
2002-09-01,150.6134
2002-10-01,136.7560
2002-11-01,114.5562
2002-12-01,105.6179
2003-01-01,125.2497
2003-02-01,142.3906
2003-03-01,144.6613
2003-04-01,151.4035
2003-05-01,147.3393
2003-06-01,162.8491
2003-07-01,146.1043
2003-08-01,141.1325
2003-09-01,126.7308
2003-10-01,115.8376
2003-11-01,106.6816
2003-12-01,93.5263
2004-01-01,104.1156
2004-02-01,126.0228
2004-03-01,140.4459
2004-04-01,148.6412
2004-05-01,150.4552
2004-06-01,169.0362
2004-07-01,157.2643
2004-08-01,153.5255
2004-09-01,144.4268
2004-10-01,139.5258
2004-11-01,120.5195
2004-12-01,111.2821
2005-01-01,130.2719
2005-02-01,148.1976
2005-03-01,159.2750
2005-04-01,171.8314
2005-05-01,169.9522
2005-06-01,196.1737
2005-07-01,190.2501
2005-08-01,179.2849
2005-09-01,153.7389
2005-10-01,144.2127
2005-11-01,122.2164
2005-12-01,106.9509
2006-01-01,130.8295
2006-02-01,144.3001
2006-03-01,156.3691
2006-04-01,167.7272
2006-05-01,159.9362
2006-06-01,182.6261
2006-07-01,176.0375
2006-08-01,164.2845
2006-09-01,146.4184
2006-10-01,127.9182
2006-11-01,111.0826
2006-12-01,102.3068
2007-01-01,126.2649
2007-02-01,139.0987
2007-03-01,153.0866
2007-04-01,169.9811
2007-05-01,167.3083
2007-06-01,180.0874
2007-07-01,167.2158
2007-08-01,149.2237
2007-09-01,141.9697
2007-10-01,126.3227
2007-11-01,104.0224
2007-12-01,99.4948
2008-01-01,107.9956
2008-02-01,124.8185
2008-03-01,139.8023
2008-04-01,141.8197
2008-05-01,143.6774
2008-06-01,169.4044
2008-07-01,145.0205
2008-08-01,139.7905
2008-09-01,124.0207
2008-10-01,108.9576
2008-11-01,102.4460
2008-12-01,83.7946
